time,open,high,low,close,volume
2021-08-02 08:15:00,67.7099,67.71,67.7099,67.71,583
2021-07-30 16:15:00,67.39,67.39,67.39,67.39,2210
2021-07-30 16:00:00,67.0,67.43,66.9,67.27,23399
2021-07-30 15:45:00,66.71,67.1049,66.67,66.895,5884
2021-07-30 15:30:00,66.54,66.825,66.43,66.825,4940
2021-07-30 15:15:00,66.45,66.605,66.415,66.6,3342
2021-07-30 15:00:00,66.1301,66.38,66.05,66.28,4451
2021-07-30 14:45:00,66.31,66.31,66.06,66.25,2738
2021-07-30 14:30:00,66.35,66.36,66.2,66.2,1600
2021-07-30 14:15:00,66.12,66.5056,66.1,66.11,1719
2021-07-30 14:00:00,66.82,66.82,66.1,66.24,6830
2021-07-30 13:45:00,66.22,66.83,66.06,66.4661,2609
2021-07-30 13:30:00,66.45,66.45,66.15,66.27,2218
2021-07-30 13:15:00,66.39,66.4757,66.3301,66.42,1979
2021-07-30 13:00:00,66.7272,66.858,66.7272,66.74,3862
2021-07-30 12:45:00,66.7335,66.9899,66.7,66.84,2757
2021-07-30 12:30:00,66.94,66.94,66.6313,66.6425,1760
2021-07-30 12:15:00,66.46,66.89,66.02,66.6217,5033
2021-07-30 12:00:00,66.7,66.9158,66.41,66.45,10893
2021-07-30 11:45:00,66.89,66.935,66.305,66.71,4793
2021-07-30 11:30:00,66.91,67.07,66.75,66.89,2410
2021-07-30 11:15:00,66.83,67.39,66.475,67.39,10205
2021-07-30 11:00:00,67.87,67.9298,66.7,66.905,30400
2021-07-30 10:45:00,67.94,68.3157,67.4906,67.9,27690
2021-07-30 10:30:00,68.63,68.63,67.22,67.99,8139
2021-07-30 10:15:00,68.645,68.96,68.42,68.96,2829
2021-07-30 10:00:00,68.2,68.84,68.056,68.8141,4841
2021-07-30 09:45:00,67.98,68.39,67.09,68.3,19698
2021-07-29 18:15:00,68.17,68.17,68.17,68.17,100
2021-07-29 16:45:00,68.4,68.4,68.4,68.4,190
2021-07-29 16:00:00,68.595,68.68,68.41,68.41,13956
2021-07-29 15:45:00,68.9,69.0,68.42,68.42,11989
2021-07-29 15:30:00,69.01,69.12,68.84,68.84,10419
2021-07-29 15:15:00,69.82,69.82,69.0,69.088,9129
2021-07-29 15:00:00,69.7138,69.85,69.5,69.8,5803
2021-07-29 14:45:00,69.74,69.76,69.39,69.53,6796
2021-07-29 14:30:00,69.44,69.675,69.143,69.675,5105
2021-07-29 14:15:00,69.67,69.67,69.1925,69.1925,2523
2021-07-29 14:00:00,69.41,69.6756,69.41,69.6,4378
2021-07-29 13:45:00,69.45,69.5,69.14,69.2212,5424
2021-07-29 13:30:00,69.3375,69.5,69.135,69.4344,5468
2021-07-29 13:15:00,69.0701,69.35,69.0541,69.21,3035
2021-07-29 13:00:00,68.92,69.1,68.7,68.96,3702
2021-07-29 12:45:00,69.05,69.1,68.66,68.95,3735
2021-07-29 12:30:00,69.09,69.45,69.05,69.0656,6861
2021-07-29 12:15:00,69.0,69.32,69.0,69.17,4657
2021-07-29 12:00:00,68.58,69.147,68.58,68.925,7412
2021-07-29 11:45:00,68.4608,68.9352,68.41,68.8,4764
2021-07-29 11:30:00,68.1885,68.67,68.13,68.4,3216
2021-07-29 11:15:00,68.02,68.32,67.94,68.32,5653
2021-07-29 11:00:00,68.0608,68.41,68.03,68.03,2889
2021-07-29 10:45:00,68.295,68.775,68.07,68.07,6782
2021-07-29 10:30:00,68.35,68.72,68.35,68.41,6846
2021-07-29 10:15:00,67.14,68.35,67.08,68.22,10321
2021-07-29 10:00:00,67.64,67.67,66.76,67.16,9232
2021-07-29 09:45:00,68.0,68.4281,67.64,68.14,20346
2021-07-29 09:15:00,67.9999,67.9999,67.9999,67.9999,500
2021-07-28 16:00:00,67.3,67.41,67.01,67.17,16000
2021-07-28 15:45:00,67.73,67.73,67.2615,67.32,3346
2021-07-28 15:30:00,67.895,67.895,67.4241,67.65,5426
2021-07-28 15:15:00,67.66,67.81,67.54,67.795,2626
2021-07-28 15:00:00,67.24,67.84,67.13,67.51,8377
2021-07-28 14:45:00,66.78,67.14,66.7601,67.13,1727
2021-07-28 14:30:00,66.81,66.95,66.41,66.71,13195
2021-07-28 14:15:00,66.78,67.29,66.75,66.9,15799
2021-07-28 14:00:00,66.84,67.03,66.72,66.72,1105
2021-07-28 13:45:00,66.89,67.13,66.6679,66.805,1941
2021-07-28 13:30:00,67.17,67.2,66.81,67.005,7520
2021-07-28 13:15:00,67.11,67.4,67.11,67.4,1161
2021-07-28 13:00:00,66.86,67.11,66.86,66.9,6609
2021-07-28 12:45:00,66.6425,66.88,66.6425,66.786,4218
2021-07-28 12:30:00,66.83,67.11,66.7,66.765,15175
2021-07-28 12:15:00,66.575,66.72,66.3,66.72,12409
2021-07-28 12:00:00,66.16,66.76,66.15,66.66,7087
2021-07-28 11:45:00,65.8884,66.19,65.73,65.94,5213
2021-07-28 11:30:00,65.77,66.22,65.77,66.1899,4476
2021-07-28 11:15:00,66.0,66.0,65.2501,65.34,3287
2021-07-28 11:00:00,65.79,66.15,65.36,65.97,7998
2021-07-28 10:45:00,65.2,65.86,65.2,65.565,3258
2021-07-28 10:30:00,65.64,65.64,64.82,64.92,16191
2021-07-28 10:15:00,66.4173,66.59,65.155,65.21,12576
2021-07-28 10:00:00,65.87,66.9,65.87,66.21,6343
2021-07-28 09:45:00,65.08,66.7,65.04,66.7,22798
2021-07-28 09:15:00,65.41,65.41,65.41,65.41,268
2021-07-27 16:45:00,64.25,64.25,64.25,64.25,100
2021-07-27 16:30:00,64.0,64.0,64.0,64.0,100
2021-07-27 16:15:00,64.2,64.2,64.2,64.2,126
2021-07-27 16:00:00,63.76,64.22,63.6416,64.18,39975
2021-07-27 15:45:00,64.205,64.205,63.34,63.85,33957
2021-07-27 15:30:00,64.302,64.41,64.05,64.23,3751
2021-07-27 15:15:00,64.69,64.755,64.14,64.255,4943
2021-07-27 15:00:00,64.4,64.73,64.25,64.73,5471
2021-07-27 14:45:00,64.17,64.4776,64.17,64.24,3804
2021-07-27 14:30:00,63.945,64.1799,63.945,64.15,6194
2021-07-27 14:15:00,63.87,64.02,63.85,64.01,3357
2021-07-27 14:00:00,63.29,63.81,63.29,63.76,2474
2021-07-27 13:45:00,63.5,63.542,63.21,63.27,15721
2021-07-27 13:30:00,63.65,63.67,63.3201,63.3563,8486
2021-07-27 13:15:00,63.93,63.93,63.52,63.71,1738
2021-07-27 13:00:00,63.78,64.11,63.6,63.95,10300
2021-07-27 12:45:00,63.5,63.94,63.4195,63.94,9351
2021-07-27 12:30:00,63.4913,63.94,63.4913,63.7,10800
2021-07-27 12:15:00,64.22,64.22,63.57,63.72,12734
2021-07-27 12:00:00,63.91,64.72,63.91,64.72,2433
2021-07-27 11:45:00,64.01,64.095,63.5201,63.8,14399
2021-07-27 11:30:00,64.05,64.56,64.039,64.27,9479
2021-07-27 11:15:00,64.31,64.57,64.0,64.1126,7137
