time,open,high,low,close,volume
2021-08-03 16:15:00,144.07,144.3,144.07,144.3,63502
2021-08-03 16:00:00,143.95,144.23,143.86,144.07,414981
2021-08-03 15:45:00,144.1,144.145,143.95,143.95,164258
2021-08-03 15:30:00,144.315,144.38,144.0799,144.105,118441
2021-08-03 15:15:00,144.43,144.45,144.28,144.317,103665
2021-08-03 15:00:00,144.68,144.7,144.41,144.42,118773
2021-08-03 14:45:00,144.485,144.68,144.35,144.67,95502
2021-08-03 14:30:00,144.66,144.7,144.47,144.4925,81193
2021-08-03 14:15:00,144.42,144.6663,144.35,144.66,88907
2021-08-03 14:00:00,144.23,144.57,144.22,144.42,114939
2021-08-03 13:45:00,144.42,144.43,144.21,144.2419,206732
2021-08-03 13:30:00,144.17,144.4118,144.17,144.41,112415
2021-08-03 13:15:00,143.93,144.19,143.8301,144.17,91122
2021-08-03 13:00:00,143.85,143.9599,143.71,143.92,130590
2021-08-03 12:45:00,143.715,143.905,143.6,143.87,87139
2021-08-03 12:30:00,143.5741,143.79,143.559,143.71,73853
2021-08-03 12:15:00,143.74,143.74,143.4,143.57,92163
2021-08-03 12:00:00,144.05,144.05,143.7397,143.74,102888
2021-08-03 11:45:00,143.78,144.12,143.7699,144.05,122256
2021-08-03 11:30:00,144.07,144.07,143.64,143.78,83744
2021-08-03 11:15:00,143.68,144.09,143.6,144.055,111509
2021-08-03 11:00:00,144.16,144.37,143.6801,143.7034,163412
2021-08-03 10:45:00,143.82,144.17,143.67,144.17,191475
2021-08-03 10:30:00,143.07,143.9,143.0007,143.84,213170
2021-08-03 10:15:00,142.3347,143.24,142.3,143.06,242479
2021-08-03 10:00:00,142.34,142.3892,141.74,142.3,123822
2021-08-03 09:45:00,141.9,142.61,141.65,142.3305,219436
2021-08-03 09:30:00,141.61,141.9,141.61,141.9,309
2021-08-03 09:15:00,141.7,141.7,141.7,141.7,187
2021-08-03 09:00:00,141.7,141.7,141.7,141.7,102
2021-08-03 08:15:00,141.8829,141.8829,141.8829,141.8829,225
2021-08-03 06:15:00,141.95,141.95,141.95,141.95,100
2021-08-02 20:00:00,141.68,141.68,141.68,141.68,100
2021-08-02 18:45:00,141.6,141.6,141.6,141.6,100
2021-08-02 18:30:00,141.6,141.6,141.6,141.6,300
2021-08-02 17:45:00,141.4362,141.4362,141.4362,141.4362,115
2021-08-02 16:15:00,141.42,141.42,141.1,141.1,31107
2021-08-02 16:00:00,141.51,141.635,141.36,141.42,355534
2021-08-02 15:45:00,141.61,141.61,141.44,141.515,201774
2021-08-02 15:30:00,141.63,141.71,141.5601,141.61,56436
2021-08-02 15:15:00,141.75,141.75,141.58,141.62,60154
2021-08-02 15:00:00,141.81,141.87,141.76,141.76,45449
2021-08-02 14:45:00,141.89,141.96,141.79,141.82,63155
2021-08-02 14:30:00,141.84,141.97,141.79,141.87,77697
2021-08-02 14:15:00,141.7114,141.8503,141.61,141.83,56742
2021-08-02 14:00:00,141.72,141.73,141.54,141.71,52740
2021-08-02 13:45:00,141.7,141.75,141.62,141.73,58554
2021-08-02 13:30:00,141.77,141.86,141.71,141.72,49741
2021-08-02 13:15:00,141.76,141.84,141.69,141.77,55441
2021-08-02 13:00:00,141.8037,141.8037,141.67,141.73,96433
2021-08-02 12:45:00,141.62,141.87,141.62,141.8029,54598
2021-08-02 12:30:00,141.72,141.7368,141.54,141.6307,72382
2021-08-02 12:15:00,141.61,141.77,141.61,141.73,97039
2021-08-02 12:00:00,141.955,142.01,141.6,141.6,67233
2021-08-02 11:45:00,142.06,142.13,141.87,141.94,67700
2021-08-02 11:30:00,142.04,142.0864,141.81,142.05,56849
2021-08-02 11:15:00,141.9283,142.2,141.9,142.06,68590
2021-08-02 11:00:00,142.1499,142.4,141.86,141.92,66034
2021-08-02 10:45:00,142.46,142.501,142.12,142.13,83291
2021-08-02 10:30:00,142.4,142.64,142.2773,142.435,95527
2021-08-02 10:15:00,142.65,143.0,142.245,142.38,142215
2021-08-02 10:00:00,142.648,143.06,142.49,142.67,219166
2021-08-02 09:45:00,141.45,142.66,141.03,142.66,256806
2021-08-02 09:30:00,141.74,141.97,141.16,141.16,3313
2021-08-02 09:00:00,141.75,141.75,141.74,141.74,700
2021-08-02 08:45:00,141.5,141.5,141.5,141.5,3552
2021-08-02 08:15:00,141.9,141.99,141.69,141.69,2872
