λ|is_conv|w|F1|F2|F3|F4|t|stat
[0.8888888888888888, 0.0, 0.1111111111111111, 0.0]|false|[1.0115629730805408e-6, 1.1466622742389324e-6, 1.1056414406442412e-6, 1.5847299627120353e-6, 1.525909886367665e-6, 6.233131902270179e-7, 0.9999798838836328, 1.0099515828268367e-6, 1.50416469636537e-6, 1.061671343184509e-6, 8.731923837336285e-7, 6.085022018342169e-7, 5.241959771699507e-7, 8.584596261034054e-7, 6.126457843533698e-7, 1.8063173400301804e-6, 1.1970964740835188e-6, 9.383104801220549e-7, 1.2495723763461144e-6, 8.742163737324946e-7]|0.003477542077534483|0.007695189386147421|-0.0006106060772021111|0.00018072894671443933|0.878000020980835|LOCALLY_SOLVED
[0.7777777777777778, 0.1111111111111111, 0.1111111111111111, 0.0]|false|[1.794885721691852e-6, 1.5517263945885673e-6, 1.7530957727278102e-6, 1.9287922734679326e-6, 1.4784927771432691e-6, 0.02078192575011047, 0.9791809357805054, 1.9740662943454457e-6, 1.5846865835683633e-6, 2.053265006383986e-6, 2.846109897187751e-6, 2.6225895165958747e-6, 1.500456766554209e-6, 3.15618349847776e-6, 2.7742284560500414e-6, 2.7870040736965893e-6, 1.2317600403011559e-6, 1.952053903875542e-6, 1.3209090544921216e-6, 2.8281633529540415e-6]|0.0033734890158951727|0.007034102155925135|-0.0005229715238156526|0.00016101548195546594|0.9169998168945312|LOCALLY_SOLVED
[0.6666666666666667, 0.2222222222222222, 0.1111111111111111, 0.0]|true|[3.2553900885125395e-6, 2.785878040079332e-6, 3.2694401095794486e-6, 4.435600295938562e-6, 2.971470882338163e-6, 0.23774894015993744, 0.7621784301159454, 3.816477935837301e-6, 3.2354990370156824e-6, 4.030227854017664e-6, 5.022048590479005e-6, 2.9479717444148856e-6, 1.7642930767554967e-6, 5.513833595418942e-6, 2.9538595171755427e-6, 1.3438720136489234e-5, 2.1021847302826264e-6, 3.4686774430459024e-6, 2.3396799115081362e-6, 5.278471127892557e-6]|0.0022876980318391705|0.002094624065926544|-1.9959459885374533e-5|4.7177477940945574e-5|0.8430001735687256|LOCALLY_SOLVED
[0.5555555555555556, 0.3333333333333333, 0.1111111111111111, 0.0]|true|[4.684245430002928e-6, 4.006098210717057e-6, 4.6989950666443404e-6, 6.481743063023324e-6, 4.305775840118994e-6, 0.32080596112982207, 0.6790767384002491, 5.452493534880127e-6, 4.584993180253766e-6, 5.69302242723022e-6, 7.149657295822841e-6, 3.855684444884108e-6, 2.254260362820716e-6, 7.807221884868855e-6, 3.826899382662735e-6, 3.363763627656615e-5, 3.0101796579206856e-6, 4.949352252700632e-6, 3.3281801481447987e-6, 7.574031469519304e-6]|0.0018719770092650936|0.0011506241665793495|3.517656324683465e-5|3.0300687682398454e-5|1.0160000324249268|LOCALLY_SOLVED
[0.4444444444444444, 0.4444444444444444, 0.1111111111111111, 0.0]|true|[8.62272012447615e-6, 7.190378299712127e-6, 8.821716936103769e-6, 1.581762056449381e-5, 8.737668460278444e-6, 0.3605496356919696, 0.491223017138566, 1.0736574263917323e-5, 8.781834165956513e-6, 1.0886475547444255e-5, 1.418675921900627e-5, 5.235595323289376e-6, 2.8896267245393023e-6, 1.6048431241636835e-5, 5.158939806260925e-6, 0.148068371222148, 5.109681087232323e-6, 9.008871903389554e-6, 5.7168432764708935e-6, 1.6026210372242913e-5]|0.0014445483790357255|0.0005998375121101287|1.620709708096273e-5|8.716192297503094e-6|1.0780000686645508|LOCALLY_SOLVED
[0.33333333333333326, 0.5555555555555556, 0.1111111111111111, 0.0]|true|[2.1347767376377622e-5, 1.6510948022782357e-5, 2.3515612919965928e-5, 0.0004148907648965686, 3.4373818455086397e-5, 0.38384814297880965, 0.33657237939474566, 3.381478030810151e-5, 2.2445068825820104e-5, 2.820172445916602e-5, 4.691514295295467e-5, 7.367436439539455e-6, 3.781060458778008e-6, 6.78319422402998e-5, 7.359025771477319e-6, 0.2787350610183115, 1.0175533521319256e-5, 2.151452072845841e-5, 1.1382997447251188e-5, 7.298846330940773e-5]|0.001124879561611016|0.000341712998681283|5.422159654313918e-6|2.1573173872297633e-6|1.122999906539917|LOCALLY_SOLVED
[0.22222222222222232, 0.6666666666666666, 0.1111111111111111, 0.0]|true|[1.830086104229224e-5, 1.4186330887482076e-5, 2.1323505383069987e-5, 0.0698201873554179, 5.6304240226034453e-5, 0.33026937837491016, 0.195154422389105, 0.0001423757686238329, 1.7458106374362696e-5, 2.517588602917394e-5, 0.003941417312954366, 4.000158901594073e-6, 1.9905370155119683e-6, 0.10223265510616678, 4.104066223938524e-6, 0.2199901877097698, 7.37750683357349e-6, 2.4165362421361554e-5, 8.024281238712016e-6, 0.07824696514047515]|0.0007323303206357094|0.000166133849231497|2.101777737368603e-7|2.855138143237445e-7|1.186000108718872|LOCALLY_SOLVED
[0.11111111111111116, 0.7777777777777778, 0.1111111111111111, 0.0]|true|[5.938738534535962e-5, 5.6021637542488594e-5, 0.00010960780140679342, 0.05463419730635771, 0.0015907127705588673, 0.20753163817149822, 0.08331289985868105, 0.04453736861648648, 3.4294173325631416e-5, 5.337211994686585e-5, 0.11819356171353348, 7.280197277741087e-6, 3.5191558563708735e-6, 0.22008752701430423, 7.646628963654831e-6, 0.10362068293091078, 1.7483745232705212e-5, 0.000565862667387423, 1.641067469141778e-5, 0.1655605254306928]|0.0003280483432590784|7.028025801049135e-5|-5.403101525478939e-7|3.245249268384247e-8|1.1410000324249268|LOCALLY_SOLVED
[0.0, 0.8888888888888888, 0.1111111111111111, 0.0]|true|[0.0018636020200380452, 0.04412480344600121, 0.011310937085394332, 0.002064804956592768, 0.002059369977676494, 0.14851702582814755, 0.0004484758604571663, 0.06917870730845038, 7.82737366123257e-5, 0.00016317285326213706, 0.15614492102265876, 0.00012927050562581911, 4.606872095714355e-5, 0.23257242740476636, 0.00035149606667868305, 0.0022309372810505445, 0.0008219678070760755, 0.142081407942244, 0.00010698257477283074, 0.18570534760153737]|-2.3636277796148263e-5|4.548127459745504e-5|-2.908162923507127e-7|1.5583660731874556e-8|1.1490001678466797|LOCALLY_SOLVED
[0.7777777777777778, 0.0, 0.2222222222222222, 0.0]|false|[1.188138762963045e-6, 1.3009018566274243e-6, 1.2804057092780927e-6, 1.7410560817592778e-6, 1.6121090033248703e-6, 8.520529685432805e-7, 0.999976628415214, 1.2059921734654368e-6, 1.6216443442099903e-6, 1.2601500674371245e-6, 1.089906559426015e-6, 7.774306201338385e-7, 6.575788378488647e-7, 1.0795352232229052e-6, 7.870455513071231e-7, 2.0493124631153735e-6, 1.2951057044781745e-6, 1.1294011986713486e-6, 1.3573369101737002e-6, 1.0864807499029245e-6]|0.0034775318240596728|0.007695154398681256|-0.0006106024923162438|0.00018072685110546364|0.8999998569488525|LOCALLY_SOLVED
