time,open,high,low,close,volume
2021-08-04 20:00:00,88.85,89.0,88.67,88.99,2381
2021-08-04 19:45:00,88.79,88.95,88.51,88.51,3440
2021-08-04 19:30:00,88.59,88.75,88.59,88.74,1077
2021-08-04 19:15:00,88.8,88.8,88.56,88.56,402
2021-08-04 19:00:00,88.55,88.6,88.55,88.6,1260
2021-08-04 18:45:00,88.34,88.5,88.34,88.4,2159
2021-08-04 18:15:00,88.2,88.45,88.2,88.45,525
2021-08-04 18:00:00,88.5,88.5,88.26,88.26,4799
2021-08-04 17:45:00,88.2,88.2,88.2,88.2,103
2021-08-04 17:15:00,88.1,88.1,88.1,88.1,605
2021-08-04 17:00:00,88.0,88.25,88.0,88.1,1849
2021-08-04 16:45:00,88.3,88.4,87.06,87.5,4365
2021-08-04 16:30:00,88.0,88.25,88.0,88.15,2965
2021-08-04 16:15:00,88.26,88.29,88.0,88.0255,12627
2021-08-04 16:00:00,88.0442,88.46,87.71,88.24,199548
2021-08-04 15:45:00,86.93,88.48,86.8,88.02,158517
2021-08-04 15:30:00,86.59,87.1076,86.29,86.77,62113
2021-08-04 15:15:00,85.5,87.2,85.1,86.4556,104300
2021-08-04 15:00:00,84.02,86.49,84.0,85.54,177523
2021-08-04 14:45:00,84.79,85.69,84.01,84.02,150621
2021-08-04 14:30:00,86.75,86.8,84.78,84.88,150364
2021-08-04 14:15:00,86.8099,87.2,86.0,86.7,97551
2021-08-04 14:00:00,86.87,87.2999,86.19,86.5614,64097
2021-08-04 13:45:00,87.33,87.69,86.56,86.95,67744
2021-08-04 13:30:00,87.515,87.79,87.0,87.425,55835
2021-08-04 13:15:00,88.29,88.4899,87.4501,87.57,65155
2021-08-04 13:00:00,89.3,89.5399,87.4201,88.04,75832
2021-08-04 12:45:00,87.77,89.83,87.45,89.34,192631
2021-08-04 12:30:00,87.175,88.3097,86.7,87.8414,81209
2021-08-04 12:15:00,87.88,88.0,87.01,87.2056,57499
2021-08-04 12:00:00,87.73,88.8,87.4,88.0604,187581
2021-08-04 11:45:00,89.0821,89.0821,87.34,87.9,128539
2021-08-04 11:30:00,89.61,90.25,88.7919,89.1543,224426
2021-08-04 11:15:00,88.335,89.98,87.61,89.695,202438
2021-08-04 11:00:00,86.8,88.45,86.1,88.33,215397
2021-08-04 10:45:00,86.0101,87.2,85.26,86.92,136353
2021-08-04 10:30:00,86.55,87.699,85.82,86.03,286516
2021-08-04 10:15:00,84.81,87.0,84.11,86.6611,208772
2021-08-04 10:00:00,85.5601,86.1557,83.2,85.0642,223627
2021-08-04 09:45:00,81.6329,87.22,80.68,85.77,520554
2021-08-04 09:30:00,81.5,82.35,81.0,81.5,22542
2021-08-04 09:15:00,83.14,83.3,81.2,81.3,32511
2021-08-04 09:00:00,84.01,84.01,83.13,83.13,7335
2021-08-04 08:45:00,83.87,83.87,83.38,83.6,7125
2021-08-04 08:30:00,84.5,85.0,84.11,84.11,8663
2021-08-04 08:15:00,85.2099,85.5,83.01,84.5,18807
2021-08-04 08:00:00,84.75,84.75,84.52,84.52,325
2021-08-04 07:45:00,84.4,84.4,84.4,84.4,310
2021-08-04 07:30:00,84.5,84.75,84.5,84.75,514
2021-08-04 07:15:00,85.08,85.08,83.42,83.5,3676
2021-08-04 06:45:00,85.11,85.11,85.11,85.11,118
2021-08-04 05:30:00,85.06,85.06,85.01,85.01,300
2021-08-04 05:00:00,86.95,86.95,86.95,86.95,150
2021-08-04 04:30:00,86.96,86.96,86.96,86.96,492
2021-08-04 04:15:00,87.5,87.5,85.02,85.02,605
2021-08-03 20:00:00,85.5,85.84,85.5,85.6501,5217
2021-08-03 19:45:00,85.2,85.49,85.2,85.49,2786
2021-08-03 19:30:00,85.53,85.55,85.3,85.31,2887
2021-08-03 19:15:00,85.5,85.55,85.5,85.5499,1169
2021-08-03 19:00:00,85.2,85.5,85.16,85.5,2242
2021-08-03 18:45:00,85.16,85.65,85.16,85.65,298
2021-08-03 18:30:00,85.75,85.75,85.23,85.6,798
2021-08-03 18:15:00,85.35,85.64,85.35,85.64,598
2021-08-03 18:00:00,85.5,85.76,85.5,85.55,542
2021-08-03 17:45:00,85.1,85.7,85.1,85.5,2276
2021-08-03 17:30:00,84.66,84.88,84.66,84.88,2724
2021-08-03 17:15:00,84.6,84.6,84.6,84.6,100
