λ|is_conv|w|F1|F2|F3|F4|t|stat
[0.5, 0.1, 0.3, 0.1]|false|[2.8257934637519313e-6, 2.4911161435975355e-6, 2.790975271621058e-6, 3.101955083691481e-6, 2.3770640362221823e-6, 0.17115158035815073, 0.8287921738582622, 3.1415836608619366e-6, 2.553137123165272e-6, 3.225810128618463e-6, 4.15268247098196e-6, 3.433222259780966e-6, 2.1922936065886287e-6, 4.475767659095403e-6, 3.6051401627986345e-6, 4.60831841552134e-6, 1.977315978903601e-6, 3.0688744736486024e-6, 2.1214570714221788e-6, 4.103276577279733e-6]|0.0026209822330070325|0.0032302238247866907|-0.00010761171375956794|6.850693142554146e-5|0.812999963760376|LOCALLY_SOLVED
[0.4, 0.2, 0.3, 0.1]|false|[1.792079707506825e-6, 1.5652427340769064e-6, 1.7877731158377216e-6, 2.176848546764376e-6, 1.574320935700679e-6, 0.307512468786061, 0.6924508172223215, 2.060584564372329e-6, 1.6846559785978226e-6, 2.1103467045161505e-6, 2.715841425865583e-6, 1.7789543614592568e-6, 1.074819042315085e-6, 2.9519465662215883e-6, 1.816067902975854e-6, 4.407743852811887e-6, 1.207789570963769e-6, 1.938994751694697e-6, 1.3144431742376565e-6, 2.755538681653664e-6]|0.0019386935546789126|0.0012667012490271544|2.943523092610942e-5|3.247169137726244e-5|0.9530000686645508|LOCALLY_SOLVED
[0.30000000000000004, 0.3, 0.3, 0.1]|true|[1.240463617724005e-5, 1.0536444753537976e-5, 1.2871645266186802e-5, 2.5054452980040028e-5, 1.315846888904059e-5, 0.3631545383423191, 0.512232119012453, 1.6064631013296534e-5, 1.3091546835059426e-5, 1.583057268126587e-5, 2.0952334377515367e-5, 7.73083137644186e-6, 4.28886944846268e-6, 2.3962403641879834e-5, 7.693074454434804e-6, 0.12437730100415431, 7.485491681089222e-6, 1.323974598916737e-5, 8.379117128487094e-6, 2.3297374380484652e-5]|0.001467836057930885|0.0006256395042463877|2.0481569118335465e-5|1.0309148486732083e-5|0.9460000991821289|LOCALLY_SOLVED
[0.20000000000000007, 0.4, 0.3, 0.1]|true|[4.294847801614461e-5, 3.332509542054581e-5, 4.832312225603141e-5, 0.02160464641331636, 8.000531887957359e-5, 0.39166160182525583, 0.2976391250213641, 8.89507349253876e-5, 4.4532259606932875e-5, 5.7487681179582847e-5, 0.00014516163784828264, 1.2474519119418477e-5, 6.2495640154037085e-6, 0.0003252562183685486, 1.2688968395400876e-5, 0.2877709192229412, 1.9458441513089058e-5, 4.6672950645529056e-5, 2.1588567605800568e-5, 0.00033858395932672325]|0.0010327443660842492|0.0002909639095368367|3.922043199252081e-6|1.395425925246265e-6|1.0979998111724854|LOCALLY_SOLVED
[0.09999999999999998, 0.5, 0.3, 0.1]|true|[0.0001439027872307906, 0.00012257422244385085, 0.00021310627692361069, 0.06014272843171987, 0.0013777608047033786, 0.24269421702470664, 0.11745398932568811, 0.017558831670791027, 0.00011643502582847517, 0.0001830196061777229, 0.08585615482847869, 2.341801541652621e-5, 1.1542776643888903e-5, 0.18939258885609841, 2.423165576401065e-5, 0.140288872910276, 4.9510139036149115e-5, 0.00036702010919887284, 5.01324726040582e-5, 0.14392996306027006]|0.00045205611981858723|9.158350055974175e-5|-5.013148808430372e-7|6.016962688425653e-8|1.1309998035430908|LOCALLY_SOLVED
[1.1102230246251565e-16, 0.6, 0.3, 0.1]|true|[0.00256307772772663, 0.04303929109992556, 0.010184523528741303, 0.0024714022355994897, 0.0026233811661429095, 0.14899783628761695, 0.0005824629583904835, 0.0687143272169293, 0.00011816569227670608, 0.00025106185209974353, 0.1560728157340947, 0.0001994187752365678, 6.93426974782772e-5, 0.23189857088263818, 0.0005435614732004512, 0.0026263397597257954, 0.0012461019818789847, 0.14163628775251216, 0.00016234490911995, 0.18599968626866578]|-2.329009100802787e-5|4.5503775710359405e-5|-2.878766730671748e-7|1.5572800826485297e-8|1.0950000286102295|LOCALLY_SOLVED
[0.4, 0.1, 0.4, 0.1]|false|[3.4921488692204193e-6, 3.0988444066488885e-6, 3.458214568893523e-6, 3.853019637473432e-6, 2.965210671605829e-6, 0.22637893619603933, 0.7735513795679647, 3.900105237986016e-6, 3.1767376488122307e-6, 3.978242956334045e-6, 5.111984277093965e-6, 4.2553722269699965e-6, 2.734235198775899e-6, 5.502436479334666e-6, 4.534522802896956e-6, 5.684383497797038e-6, 2.4667449809307526e-6, 3.8051066109059977e-6, 2.6433216106800675e-6, 5.0236043137351165e-6]|0.002344583241603082|0.002264607217373375|-3.172798715901609e-5|5.023403776296074e-5|0.7879998683929443|LOCALLY_SOLVED
[0.29999999999999993, 0.2, 0.4, 0.1]|false|[7.554101070317999e-6, 6.66031866087945e-6, 7.626123945851144e-6, 9.733117796254186e-6, 6.86769805211295e-6, 0.3391240674947506, 0.6607099002532048, 9.09432548468792e-6, 7.347486280128919e-6, 9.091818106254497e-6, 1.1941539240660435e-5, 6.924474591803209e-6, 4.106041521401657e-6, 1.3112204459145373e-5, 7.082824762203323e-6, 2.7831461178611113e-5, 5.074829395642458e-6, 8.331580318902833e-6, 5.555320507111442e-6, 1.2096986672946685e-5]|0.001780154144241852|0.0010128634172790689|4.1635488392532935e-5|2.7593412995507606e-5|0.9479999542236328|LOCALLY_SOLVED
[0.20000000000000007, 0.3, 0.4, 0.1]|false|[2.9008580822837977e-5, 2.3880466635349984e-5, 3.242144425601542e-5, 0.00016491782773193344, 4.411182083683329e-5, 0.38230775779350934, 0.3821231474978002, 4.633798737886706e-5, 3.259550338615677e-5, 3.8357668831975574e-5, 6.114146315528226e-5, 1.203501907724095e-5, 6.333258620439288e-6, 8.257855876003589e-5, 1.2156623154991033e-5, 0.2348417611881379, 1.5231729026784027e-5, 3.077276683292272e-5, 1.7037998520814582e-5, 7.841480352400098e-5]|0.0012003294029077276|0.0003922408858238591|8.893445800206925e-6|3.4196531721775517e-6|0.9750001430511475|LOCALLY_SOLVED
[0.09999999999999998, 0.4, 0.4, 0.1]|false|[4.217882452070277e-5, 3.481355914990045e-5, 5.148580063533257e-5, 0.06321967146109427, 0.00013964907163345507, 0.2744743434518267, 0.14868372267189064, 0.0017711763905926834, 3.5728375432979e-5, 5.286348582143904e-5, 0.0548666415069521, 8.701071648165947e-6, 4.315194894393819e-6, 0.16178435384688963, 8.961996850050542e-6, 0.17261522698270151, 1.699761460114484e-5, 6.854128911246447e-5, 1.7659840646138693e-5, 0.12210296756310625]|0.0005626102969781999|0.00011651873630680153|-3.0105050700847557e-7|1.1390917216130295e-7|1.1690001487731934|LOCALLY_SOLVED
[0.0, 0.5, 0.4, 0.1]|true|[0.0029005233113626335, 0.04226151738140806, 0.009748302737420339, 0.002715376934296153, 0.002924389975884033, 0.14928131821057772, 0.0006696226353791391, 0.0683809510039441, 0.0001448180728169813, 0.0003093964360549543, 0.15604528983780216, 0.0002456016173789219, 8.395391171380193e-5, 0.2314291329997039, 0.0006549832902190275, 0.0028418456593161737, 0.0014985694955344624, 0.14135873008691327, 0.00019947213350419779, 0.18630620426876998]|-2.3140261592407883e-5|4.5519061733774155e-5|-2.854368515261877e-7|1.5561969643355647e-8|1.0999999046325684|LOCALLY_SOLVED
[0.30000000000000004, 0.1, 0.5, 0.1]|false|[4.5991982037265394e-6, 4.109674171561371e-6, 4.570603172892182e-6, 5.072750937158273e-6, 3.917894450026761e-6, 0.2775519770613461, 0.7223551659940711, 5.225475755376662e-6, 4.202978939800259e-6, 5.2629189398027935e-6, 6.8635011928789116e-6, 5.648817009375759e-6, 3.631529360351648e-6, 7.409305278419849e-6, 6.084436847532545e-6, 7.704255055757997e-6, 3.2688577994660325e-6, 5.079849153114669e-6, 3.4999880600776473e-6, 6.704910255401743e-6]|0.0020884428527071816|0.0015767588282991033|1.2564780860164598e-5|3.801515718418003e-5|0.8670001029968262|LOCALLY_SOLVED
[0.20000000000000007, 0.2, 0.5, 0.1]|false|[1.5091028921072956e-5, 1.3574696514500998e-5, 1.5705408983082724e-5, 2.3038266847234812e-5, 1.5031494829983045e-5, 0.36924381506749726, 0.597785469309919, 2.0656627153714323e-5, 1.5928282382987802e-5, 1.914354149351439e-5, 2.6947796220629073e-5, 1.1428130914018597e-5, 6.473985676267946e-6, 3.070933325143813e-5, 1.1740374348122561e-5, 0.032679623807804946, 9.961429612530929e-6, 1.7477125625921648e-5, 1.1053541511339327e-5, 2.713075049215653e-5]|0.0015786267581500853|0.0007707246790193949|4.0638246006216625e-5|1.9192448240416523e-5|0.9590001106262207|LOCALLY_SOLVED
[0.09999999999999998, 0.3, 0.5, 0.1]|false|[0.00012092187750264814, 9.759898121355183e-5, 0.00016127823258052976, 0.056933801330027164, 0.0007146461541313077, 0.33377187651354556, 0.20507734240442838, 0.0013122453046421722, 0.00013401947530690384, 0.00017937282020416047, 0.007910073477971409, 2.461063341822087e-5, 1.2181028713256481e-5, 0.1015644005694732, 2.5512527883686984e-5, 0.22436302584454665, 4.682716672692159e-5, 0.0001754257661607439, 5.086730344196658e-5, 0.06732397258808172]|0.0007490526393308223|0.00017228546695691958|6.739490696053054e-7|3.4143295961325497e-7|1.0199999809265137|LOCALLY_SOLVED
[0.0, 0.4, 0.5, 0.1]|false|[0.0031154604778038768, 0.041548513171701766, 0.00937831025375545, 0.002906993445955311, 0.0031328365929174495, 0.14947882076124686, 0.0007509168408020171, 0.06797085263859162, 0.00018080287958605735, 0.00038295685428895235, 0.15606792861313745, 0.0003099349500641196, 0.00010493891868785989, 0.23085123760576404, 0.0007915195009630363, 0.0030034845047392225, 0.001704019950933844, 0.14115922094946867, 0.00024854944129962654, 0.1869127016482929]|-2.3266710524738726e-5|4.553786171938876e-5|-2.813959265519448e-7|1.553564030328066e-8|1.128999948501587|LOCALLY_SOLVED
[0.20000000000000007, 0.1, 0.6, 0.1]|false|[4.949392878537181e-6, 4.0635590016098715e-6, 4.7716954016434e-6, 6.1619312504843435e-6, 4.351467783096912e-6, 0.32773148236317234, 0.6721708580695932, 4.748419999368132e-6, 4.3171419438781935e-6, 5.398725316598467e-6, 5.883696440375894e-6, 5.653458585079085e-6, 4.325519396138956e-6, 5.997858307799282e-6, 7.230084273302743e-6, 1.1641954048950131e-5, 3.2080182981227153e-6, 4.618727081119882e-6, 3.418501607966711e-6, 6.919415620197525e-6]|0.0018373341782353227|0.0010956348898971374|3.781577657328801e-5|2.924836521123364e-5|0.8789999485015869|LOCALLY_SOLVED
