time,open,high,low,close,volume
2021-08-04 16:15:00,185.43,185.43,185.43,185.43,7910
2021-08-04 16:00:00,185.435,185.8,185.22,185.43,165892
2021-08-04 15:45:00,185.15,185.42,184.915,185.42,15567
2021-08-04 15:30:00,184.985,185.2,184.8,185.2,18664
2021-08-04 15:15:00,185.275,185.3,184.95,185.01,22850
2021-08-04 15:00:00,184.93,185.3,184.91,185.275,11906
2021-08-04 14:45:00,184.6596,184.91,184.62,184.91,14388
2021-08-04 14:30:00,184.6,184.71,184.54,184.66,19340
2021-08-04 14:15:00,184.61,184.685,184.51,184.63,18293
2021-08-04 14:00:00,184.48,184.68,184.36,184.65,21846
2021-08-04 13:45:00,184.65,184.69,184.47,184.5,16525
2021-08-04 13:30:00,184.565,184.67,184.49,184.625,15479
2021-08-04 13:15:00,184.59,184.695,184.54,184.6,17181
2021-08-04 13:00:00,184.525,184.65,184.5,184.55,6209
2021-08-04 12:45:00,184.61,184.759,184.485,184.52,17805
2021-08-04 12:30:00,184.341,184.795,184.341,184.57,18310
2021-08-04 12:15:00,184.53,184.95,184.385,184.49,14176
2021-08-04 12:00:00,184.39,184.59,184.36,184.54,13184
2021-08-04 11:45:00,184.5,184.64,184.065,184.4,28717
2021-08-04 11:30:00,185.0,185.05,184.35,184.62,28817
2021-08-04 11:15:00,184.49,185.14,184.43,185.02,20952
2021-08-04 11:00:00,184.55,184.81,184.41,184.62,17788
2021-08-04 10:45:00,184.82,184.91,184.31,184.74,64597
2021-08-04 10:30:00,184.8359,185.0,184.58,184.84,11860
2021-08-04 10:15:00,185.11,185.47,184.71,184.9,25001
2021-08-04 10:00:00,185.0,185.41,184.555,185.08,17280
2021-08-04 09:45:00,185.36,186.155,184.85,185.0,33552
2021-08-03 16:15:00,186.6,186.6,186.6,186.6,9869
2021-08-03 16:00:00,186.265,186.72,186.08,186.5,194097
2021-08-03 15:45:00,186.75,186.75,186.22,186.22,28687
2021-08-03 15:30:00,186.86,187.02,186.715,186.79,29482
2021-08-03 15:15:00,186.95,187.0,186.82,186.86,26774
2021-08-03 15:00:00,187.0,187.0,186.705,186.9,28845
2021-08-03 14:45:00,186.91,187.0,186.73,186.95,16356
2021-08-03 14:30:00,186.81,187.03,186.81,186.935,14922
2021-08-03 14:15:00,186.775,186.84,186.58,186.83,12386
2021-08-03 14:00:00,186.81,187.04,186.75,186.77,16046
2021-08-03 13:45:00,187.0,187.02,186.75,186.89,17519
2021-08-03 13:30:00,187.0,187.02,186.83,187.0,18351
2021-08-03 13:15:00,186.88,187.13,186.88,186.97,15482
2021-08-03 13:00:00,186.85,187.04,186.67,186.94,17433
2021-08-03 12:45:00,186.76,186.92,186.64,186.8,13065
2021-08-03 12:30:00,186.73,186.855,186.5,186.695,14824
2021-08-03 12:15:00,187.15,187.28,186.57,186.74,27084
2021-08-03 12:00:00,186.98,187.27,186.8234,187.16,20087
2021-08-03 11:45:00,186.68,187.09,186.55,187.03,62638
2021-08-03 11:30:00,187.03,187.07,186.43,186.6087,32271
2021-08-03 11:15:00,187.6186,187.62,186.7,187.09,29775
2021-08-03 11:00:00,188.34,188.82,187.54,187.54,36568
2021-08-03 10:45:00,187.52,188.43,187.47,188.42,50746
2021-08-03 10:30:00,185.74,187.69,185.74,187.54,104305
2021-08-03 10:15:00,185.77,186.03,185.18,185.74,46600
2021-08-03 10:00:00,185.55,186.23,185.31,185.89,35995
2021-08-03 09:45:00,182.62,185.79,181.69,185.56,81349
2021-08-02 16:15:00,180.81,180.81,180.81,180.81,17408
2021-08-02 16:00:00,181.23,181.35,180.64,180.84,158486
2021-08-02 15:45:00,181.73,181.73,181.24,181.2746,47116
2021-08-02 15:30:00,181.93,181.99,181.6001,181.77,33054
2021-08-02 15:15:00,182.04,182.11,181.85,181.95,21346
2021-08-02 15:00:00,182.21,182.3,182.0,182.105,22656
2021-08-02 14:45:00,182.22,182.35,182.16,182.255,21268
2021-08-02 14:30:00,182.42,182.55,182.22,182.26,21119
2021-08-02 14:15:00,182.015,182.42,181.95,182.42,17034
2021-08-02 14:00:00,181.71,182.035,181.63,182.015,11925
2021-08-02 13:45:00,181.685,181.85,181.64,181.75,19774
2021-08-02 13:30:00,181.79,181.8,181.66,181.67,26566
2021-08-02 13:15:00,181.75,181.835,181.64,181.8,30546
