grid_density|obj_val|obj_arg|time_s
2|3.3324718540072795|[0.0, 0.5, 0.0, 0.5, 0.0, 0.0]|0.361899
4|2.0272647557359247|[0.0, 0.25, 0.0, 0.25, 0.25, 0.25]|0.0004009
8|2.0250219880797617|[0.0, 0.25, 0.125, 0.125, 0.25, 0.25]|0.0029987
16|1.970621305322815|[0.0, 0.3125, 0.0625, 0.1875, 0.1875, 0.25]|0.0485776
32|1.958813685291814|[0.0, 0.3125, 0.09375, 0.1875, 0.1875, 0.21875]|1.2352905
64|1.957856258892888|[0.0, 0.3125, 0.078125, 0.1875, 0.203125, 0.21875]|35.2114861
