hier_lvl|obj_val|p_stat|d_stat|time_s
4|1.1166691919786667|FEASIBLE_POINT|FEASIBLE_POINT|1.0
6|1.1166691919018785|FEASIBLE_POINT|FEASIBLE_POINT|11.0
8|1.116669191977871|FEASIBLE_POINT|FEASIBLE_POINT|377.0
