grid_density|obj_val|obj_arg|time_s
2|1.116669191890866|[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]|0.0
4|1.116669191890866|[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]|0.0
8|1.116669191890866|[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]|0.0
16|1.116669191890866|[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]|0.0
32|1.116669191890866|[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]|1.0
64|1.116669191890866|[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]|23.0
